rowNumber,date,time_of_day,headspace_package,day_within_headspace_package,clarity_pre_meditation,calm_pre_meditation,tiredness_pre_meditation,hours_awake_today,hours_slept_last_night,hours_since_meal,meditation_minutes_earlier_today,mood_bad_proportion_since_last_entry,mood_low_proportion_since_last_entry,mood_mildlypleasant_proportion_since_last_entry,mood_verygood_proportion_since_last_entry,stroop_congruent_pre_meditation,stroop_incongruent_pre_meditation,stroop_mistake_pre_meditation,meditation_randomised_walking,meditation_randomised_sitting,meditation_randomised_standing,stroop_congruent_post_meditation,stroop_incongruent_post_meditation,stroop_mistake_post_meditation,clarity_post_meditation,calm_post_meditation,tiredness_post_meditation,self_regulation_failure_severity,hrs_since_coffee,out_of_home,hangover,re_anchor,data_point_quality_compromised
1,1.7.2014,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.311500000000002,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2,2.7.2014,NA,1,2,7,5,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,4,6,NA,NA,NA,NA,0,NA,NA
3,3.7.2014,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.508,21.981,NA,NA,NA,NA,13.398,21.7065,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
4,4.7.2014,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.096,19.563,NA,NA,NA,NA,16.16,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
5,5.7.2014,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.558,17.0805,NA,NA,NA,NA,14.022,18.2685,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
6,6.7.2014,NA,1,6,3.5,3,7,11,NA,16,NA,NA,NA,NA,NA,11.724,17.3235,NA,0,0,1,12.5,15.508500000000002,NA,4,4,NA,NA,NA,NA,0,NA,NA
7,7.7.2014,NA,1,7,5.25,6.25,1,1,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,14.052,15.09,NA,7,4,NA,NA,NA,NA,0,NA,NA
8,8.7.2014,NA,1,8,4,5.5,6,2.5,NA,NA,NA,NA,NA,NA,NA,12.053,16.659,NA,0,1,0,14.48,13.5675,NA,7.5,7,NA,NA,NA,NA,0,NA,NA
9,9.7.2014,NA,1,9,4.75,5,6.5,3,NA,NA,NA,NA,NA,NA,NA,12.32,13.1565,NA,0,1,0,13.862,12.6765,NA,7,6.5,NA,NA,NA,NA,0,NA,NA
10,10.7.2014,NA,1,10,4,3.5,6,4,NA,NA,NA,NA,NA,NA,NA,10.694,14.2245,NA,0,1,0,14.774,16.0515,NA,4.75,4.75,NA,NA,NA,NA,0,NA,NA
11,11.7.2014,NA,1,10,3.75,6.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6,5.75,5.75,NA,NA,NA,0,NA,NA
12,12.7.2014,NA,0,NA,3,2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,3,2,8,NA,NA,NA,1,NA,1
13,15.7.2014,NA,0,NA,6,7,4.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,6.75,8,3.5,NA,NA,NA,0,NA,NA
